,img_link,name,price(in Rs.),Processor_Type,Ram(GB),OS,SSD(GB),HDD(GB),similarity
0,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/b/0/15itl6-thin-and-light-laptop-lenovo-original-imagkwgzafjp33es.jpeg?q=70,Lenovo,62990,Intel Core i5,16,Windows,512,0,0.24833583907813359
1,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70,Lenovo,37500,Intel Core i3,8,Windows,256,1000,0.9999681001143707
2,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70,ASUS,49990,Intel Core i5,8,Windows,512,0,0.2481865046555032
3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/1/7/-original-imag3ebnzawky4kn.jpeg?q=70,ASUS,33990,Intel Core i3,8,Windows,512,0,0.2481865046555032
4,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70,Lenovo,18990,Other AMD Processor,4,Other,256,0,0.24817846224178297
5,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,APPLE,86990,Other,8,Mac,256,0,0.24832968951616843
6,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,ASUS,23990,Other Intel Processor,4,Windows,256,0,0.24818602865831474
7,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/j/s/vostro-3425-thin-and-light-laptop-dell-original-imagjhbg6gyyc5j8.jpeg?q=70,DELL,36890,AMD Ryzen 3,8,Windows,256,0,0.24833347134014375
8,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70,Lenovo,33999,Intel Core i3,8,Windows,512,0,0.2481846130189073
9,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70,RedmiBook,38990,Intel Core i5,8,Windows,512,0,0.2481846130189073
10,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/0/8/-original-imagkgr3wcfexyd8.jpeg?q=70,acer,26990,AMD Ryzen 3,8,Windows,256,0,0.24833347134014375
11,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/u/o/-original-imagg6t9hc6wubth.jpeg?q=70,ASUS,66990,Intel Core i5,16,Windows,512,0,0.24833773002254858
12,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70,ASUS,37990,Intel Core i3,8,Windows,512,0,0.2481865046555032
13,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/q/o/-original-imag7wjdg4dvcdya.jpeg?q=70,ASUS,56990,Intel Core i7,16,Windows,512,0,0.2483396209669636
14,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/o/u/-original-imaghkk994ybh4fh.jpeg?q=70,DELL,39990,Intel Core i3,8,Windows,256,1000,0.9999681001143707
15,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,realme,46990,Intel Core i3,8,Windows,256,0,0.24833347134014375
16,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70,HP,37990,Intel Core i3,8,Windows,256,0,0.24833347134014375
17,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,HP,49123,AMD Ryzen 5,16,Windows,512,0,0.24833583907813359
18,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70,MSI,47990,AMD Ryzen 5,8,Windows,512,0,0.2481846130189073
19,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/z/r/-original-imaggskgx4ze73fn.jpeg?q=70,ASUS,86500,Intel Core i5,16,Windows,512,0,0.24833773002254858
20,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/f/y/t/apple-original-imafxfyqydgvrkzv.jpeg?q=70,APPLE,86990,Other,8,Mac,256,0,0.24832968951616843
21,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/6/1/15s-fq5007tu-thin-and-light-laptop-hp-original-imagkwj68xgexkhy.jpeg?q=70,HP,44990,Intel Core i3,8,Windows,512,0,0.2481846130189073
22,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/b/8/15s-fr4000tu-thin-and-light-laptop-hp-original-imaghrcwmt7v5svk.jpeg?q=70,HP,52990,Intel Core i5,8,Windows,512,0,0.2481846130189073
